Frequence;Cepage;Couleur_Actuelle;Statut
67;Assyrtico;NON DÉFINI;A FAIRE
66;Carignano;NON DÉFINI;A FAIRE
64;Grenache-Syrah;NON DÉFINI;A FAIRE
64;Arneis;NON DÉFINI;A FAIRE
63;Sauvignon Blanc-Semillon;NON DÉFINI;A FAIRE
61;Trebbiano;NON DÉFINI;A FAIRE
61;Xinomavro;NON DÉFINI;A FAIRE
61;Ribolla Gialla;NON DÉFINI;A FAIRE
60;Tempranillo-Garnacha;NON DÉFINI;A FAIRE
60;Insolia;NON DÉFINI;A FAIRE
60;Lambrusco;NON DÉFINI;A FAIRE
58;Malbec-Cabernet Sauvignon;NON DÉFINI;A FAIRE
58;Cabernet Sauvignon-Carmenère;NON DÉFINI;A FAIRE
56;Portuguese Sparkling;NON DÉFINI;A FAIRE
56;Weissburgunder;NON DÉFINI;A FAIRE
55;Muscat Canelli;NON DÉFINI;A FAIRE
55;Cabernet Sauvignon-Malbec;NON DÉFINI;A FAIRE
55;Silvaner;NON DÉFINI;A FAIRE
54;Pedro Ximénez;NON DÉFINI;A FAIRE
54;Spätburgunder;NON DÉFINI;A FAIRE
54;Verdicchio;white;OK
54;Syrah-Cabernet;NON DÉFINI;A FAIRE
52;Alsace white blend;NON DÉFINI;A FAIRE
52;Cabernet Merlot;NON DÉFINI;A FAIRE
51;Vidal Blanc;white;OK
48;Loureiro;NON DÉFINI;A FAIRE
47;Austrian white blend;NON DÉFINI;A FAIRE
47;Syrah-Grenache;NON DÉFINI;A FAIRE
47;Petit Manseng;NON DÉFINI;A FAIRE
46;Cabernet Sauvignon-Cabernet Franc;NON DÉFINI;A FAIRE
45;Sylvaner;NON DÉFINI;A FAIRE
44;Moschofilero;NON DÉFINI;A FAIRE
44;Malvasia;NON DÉFINI;A FAIRE
43;Cannonau;NON DÉFINI;A FAIRE
42;Alicante Bouschet;NON DÉFINI;A FAIRE
42;Moscatel;NON DÉFINI;A FAIRE
40;Charbono;NON DÉFINI;A FAIRE
40;Traminer;NON DÉFINI;A FAIRE
40;Chenin Blanc-Chardonnay;NON DÉFINI;A FAIRE
39;Tocai Friulano;NON DÉFINI;A FAIRE
38;Lagrein;NON DÉFINI;A FAIRE
37;Castelão;NON DÉFINI;A FAIRE
37;Marsanne-Roussanne;NON DÉFINI;A FAIRE
37;Claret;NON DÉFINI;A FAIRE
36;Tannat-Cabernet;NON DÉFINI;A FAIRE
35;Zibibbo;NON DÉFINI;A FAIRE
34;Frappato;NON DÉFINI;A FAIRE
33;Furmint;NON DÉFINI;A FAIRE
33;Pecorino;NON DÉFINI;A FAIRE
33;White Riesling;NON DÉFINI;A FAIRE
32;Roditis;NON DÉFINI;A FAIRE
32;Rosato;NON DÉFINI;A FAIRE
31;Fernão Pires;NON DÉFINI;A FAIRE
31;Catarratto;NON DÉFINI;A FAIRE
31;Graciano;NON DÉFINI;A FAIRE
30;Orange Muscat;NON DÉFINI;A FAIRE
30;Lemberger;NON DÉFINI;A FAIRE
30;Malvasia Bianca;NON DÉFINI;A FAIRE
30;Inzolia;NON DÉFINI;A FAIRE
30;Shiraz-Grenache;NON DÉFINI;A FAIRE
30;Aligoté;NON DÉFINI;A FAIRE
29;Müller-Thurgau;NON DÉFINI;A FAIRE
29;Welschriesling;NON DÉFINI;A FAIRE
29;Picolit;NON DÉFINI;A FAIRE
28;Touriga Nacional-Cabernet Sauvignon;NON DÉFINI;A FAIRE
28;Scheurebe;NON DÉFINI;A FAIRE
27;Piedirosso;NON DÉFINI;A FAIRE
27;Teroldego;NON DÉFINI;A FAIRE
26;Cinsault;NON DÉFINI;A FAIRE
26;Carignane;NON DÉFINI;A FAIRE
26;Xarel-lo;NON DÉFINI;A FAIRE
26;Gelber Muskateller;NON DÉFINI;A FAIRE
25;Brachetto;NON DÉFINI;A FAIRE
25;Palomino;NON DÉFINI;A FAIRE
25;Verdejo-Viura;NON DÉFINI;A FAIRE
25;Provence red blend;NON DÉFINI;A FAIRE
23;Carricante;NON DÉFINI;A FAIRE
23;Rosado;rose;OK
23;Tempranillo-Shiraz;NON DÉFINI;A FAIRE
22;Norton;NON DÉFINI;A FAIRE
22;Prieto Picudo;NON DÉFINI;A FAIRE
22;Vignoles;NON DÉFINI;A FAIRE
22;Baga;NON DÉFINI;A FAIRE
22;Carmenère-Cabernet Sauvignon;NON DÉFINI;A FAIRE
22;Colombard;NON DÉFINI;A FAIRE
21;Rkatsiteli;NON DÉFINI;A FAIRE
21;Merlot-Cabernet Franc;NON DÉFINI;A FAIRE
20;Garnacha-Syrah;NON DÉFINI;A FAIRE
20;Gros and Petit Manseng;NON DÉFINI;A FAIRE
20;Raboso;NON DÉFINI;A FAIRE
20;Passerina;NON DÉFINI;A FAIRE
20;Nero di Troia;NON DÉFINI;A FAIRE
20;Cabernet;NON DÉFINI;A FAIRE
19;Colombard-Sauvignon Blanc;NON DÉFINI;A FAIRE
19;Garnacha Blanca;NON DÉFINI;A FAIRE
19;Gros Manseng;NON DÉFINI;A FAIRE
19;Hondarrabi Zuri;NON DÉFINI;A FAIRE
19;Pinot Meunier;NON DÉFINI;A FAIRE
18;Viognier-Roussanne;NON DÉFINI;A FAIRE
18;Tempranillo-Merlot;NON DÉFINI;A FAIRE
18;Pallagrello;NON DÉFINI;A FAIRE
18;Malbec-Syrah;NON DÉFINI;A FAIRE
18;Syrah-Cabernet Sauvignon;NON DÉFINI;A FAIRE
18;Cesanese d'Affile;NON DÉFINI;A FAIRE
18;Alfrocheiro;NON DÉFINI;A FAIRE
18;Encruzado;NON DÉFINI;A FAIRE
18;Saperavi;NON DÉFINI;A FAIRE
17;Moscadello;NON DÉFINI;A FAIRE
17;Corvina;red;OK
17;Albana;NON DÉFINI;A FAIRE
17;Tokay;NON DÉFINI;A FAIRE
17;Coda di Volpe;NON DÉFINI;A FAIRE
17;Muskat Ottonel;NON DÉFINI;A FAIRE
17;Auxerrois;NON DÉFINI;A FAIRE
17;Touriga Nacional Blend;NON DÉFINI;A FAIRE
17;Moscato Giallo;NON DÉFINI;A FAIRE
16;Plavac Mali;NON DÉFINI;A FAIRE
16;Antão Vaz;NON DÉFINI;A FAIRE
16;Madeira Blend;NON DÉFINI;A FAIRE
16;Semillon-Chardonnay;NON DÉFINI;A FAIRE
16;Counoise;NON DÉFINI;A FAIRE
16;Chambourcin;NON DÉFINI;A FAIRE
16;Grauburgunder;NON DÉFINI;A FAIRE
16;Bobal;NON DÉFINI;A FAIRE
16;Kekfrankos;NON DÉFINI;A FAIRE
16;Syrah-Viognier;NON DÉFINI;A FAIRE
16;Muscat Blanc;NON DÉFINI;A FAIRE
16;Trebbiano di Lugana;NON DÉFINI;A FAIRE
16;Macabeo;NON DÉFINI;A FAIRE
15;Tinta Roriz;NON DÉFINI;A FAIRE
15;Merlot-Cabernet;NON DÉFINI;A FAIRE
15;Merlot-Malbec;NON DÉFINI;A FAIRE
15;Johannisberg Riesling;NON DÉFINI;A FAIRE
15;Roter Veltliner;NON DÉFINI;A FAIRE
15;Aragonês;NON DÉFINI;A FAIRE
14;Ugni Blanc-Colombard;NON DÉFINI;A FAIRE
14;Uva di Troia;NON DÉFINI;A FAIRE
14;Sauvignon Gris;NON DÉFINI;A FAIRE
14;Perricone;NON DÉFINI;A FAIRE
14;Trincadeira;NON DÉFINI;A FAIRE
14;Syrah-Petite Sirah;NON DÉFINI;A FAIRE
14;Mavrodaphne;NON DÉFINI;A FAIRE
13;Malvasia Istriana;NON DÉFINI;A FAIRE
13;Cabernet Sauvignon-Sangiovese;NON DÉFINI;A FAIRE
13;Monastrell-Syrah;NON DÉFINI;A FAIRE
13;Negrette;NON DÉFINI;A FAIRE
13;Kerner;NON DÉFINI;A FAIRE
13;Black Muscat;NON DÉFINI;A FAIRE
13;Bical;NON DÉFINI;A FAIRE
13;Gaglioppo;NON DÉFINI;A FAIRE
13;Grecanico;NON DÉFINI;A FAIRE
13;Gamay Noir;NON DÉFINI;A FAIRE
12;Ruché;NON DÉFINI;A FAIRE
12;Rotgipfler;NON DÉFINI;A FAIRE
12;Chardonnay-Semillon;NON DÉFINI;A FAIRE
12;Gewürztraminer-Riesling;NON DÉFINI;A FAIRE
12;Grenache-Shiraz;NON DÉFINI;A FAIRE
12;Cabernet-Syrah;NON DÉFINI;A FAIRE
11;Viura-Chardonnay;NON DÉFINI;A FAIRE
11;Teran;NON DÉFINI;A FAIRE
11;Feteasca Neagra;NON DÉFINI;A FAIRE
11;Tinta Fina;NON DÉFINI;A FAIRE
11;Vranec;NON DÉFINI;A FAIRE
11;Chardonnay-Sauvignon;NON DÉFINI;A FAIRE
11;Roussanne-Viognier;NON DÉFINI;A FAIRE
11;Traminette;NON DÉFINI;A FAIRE
11;Sauvignon Blanc-Chardonnay;NON DÉFINI;A FAIRE
11;Aleatico;NON DÉFINI;A FAIRE
11;Monica;NON DÉFINI;A FAIRE
11;Zierfandler;NON DÉFINI;A FAIRE
10;Carmenère-Syrah;NON DÉFINI;A FAIRE
10;Pinot Auxerrois;NON DÉFINI;A FAIRE
10;Cabernet Franc-Merlot;NON DÉFINI;A FAIRE
10;Refosco;NON DÉFINI;A FAIRE
10;Nuragus;NON DÉFINI;A FAIRE
10;Verduzzo Friulano ;NON DÉFINI;A FAIRE
10;Viognier-Chardonnay;NON DÉFINI;A FAIRE
10;Muscadel;NON DÉFINI;A FAIRE
10;Touriga Franca;NON DÉFINI;A FAIRE
10;Alicante;NON DÉFINI;A FAIRE
9;Muscat Blanc à Petit Grain;NON DÉFINI;A FAIRE
9;Chardonnay-Pinot Blanc;NON DÉFINI;A FAIRE
9;Baco Noir;NON DÉFINI;A FAIRE
9;Tannat-Cabernet Franc;NON DÉFINI;A FAIRE
9;Portuguese Rosé;NON DÉFINI;A FAIRE
9;Chasselas;NON DÉFINI;A FAIRE
9;Malvasia Fina;NON DÉFINI;A FAIRE
9;Tempranillo Blanco;NON DÉFINI;A FAIRE
9;Aragonez;NON DÉFINI;A FAIRE
9;Cabernet Sauvignon-Tempranillo;NON DÉFINI;A FAIRE
9;Grenache-Carignan;NON DÉFINI;A FAIRE
9;Mataro;NON DÉFINI;A FAIRE
9;Verduzzo;NON DÉFINI;A FAIRE
9;Grechetto;NON DÉFINI;A FAIRE
8;Chenin Blanc-Viognier;NON DÉFINI;A FAIRE
8;Malbec-Tannat;NON DÉFINI;A FAIRE
8;Grenache Blend;red;OK
8;Assyrtiko;white;OK
8;Shiraz-Tempranillo;red;OK
8;Savatiano;white;OK
8;Siria;white;OK
8;Susumaniello;red;OK
8;Picpoul;white;OK
8;Trepat;red;OK
8;Dornfelder;red;OK
7;Viognier-Marsanne;white;OK
7;Ciliegiolo;red;OK
7;Mauzac;white;OK
7;Mondeuse;red;OK
7;Mission;red;OK
7;Malbec-Tempranillo;red;OK
7;Chenin Blanc-Sauvignon Blanc;white;OK
7;Bovale;red;OK
7;Posip;white;OK
7;Carignan-Grenache;red;OK
7;Schiava;red;OK
7;Roter Traminer;white;OK
7;Blauer Portugieser;red;OK
7;Bastardo;red;OK
6;Elbling;white;OK
6;Seyval Blanc;white;OK
6;Shiraz-Malbec;red;OK
6;Savagnin;white;OK
6;Apple;NON DÉFINI;A FAIRE (ce n'est pas un cépage mais un fruit pour cidre)
6;Shiraz-Pinotage;red;OK
6;Verdejo-Sauvignon Blanc;white;OK
6;Malagousia;white;OK
6;Vilana;white;OK
6;Casavecchia;red;OK
6;Pansa Blanca;white;OK
6;Neuburger;white;OK
6;Cabernet Franc-Carmenère;red;OK
6;Kalecik Karasi;red;OK
6;Syrah-Tempranillo;red;OK
6;Airen;white;OK
6;Debit;white;OK
6;Mansois;red;OK
5;Lacrima;red;OK
5;Jaen;red;OK
5;Nasco;white;OK
5;Moscatel Roxo;rosé;OK
5;Durif;red;OK
5;Angevine;white;OK
5;Robola;white;OK
5;Symphony;white;OK
5;Garnacha-Graciano;red;OK
5;Sauvignon Blanc-Verdejo;white;OK
5;Provence white blend;white;OK
5;Xinisteri;white;OK
5;Malvasia Nera;red;OK
5;Malagouzia;white;OK
5;Chardonnay-Sauvignon Blanc;white;OK
5;Syrah-Mourvèdre;red;OK
5;Merlot-Syrah;red;OK
5;Vinhão;red;OK
5;Petroulianos;white;OK
5;Maturana;red;OK
5;Pinot Noir-Gamay;red;OK
5;Malbec-Bonarda;red;OK
5;Mantonico;white;OK
5;Tannat-Merlot;red;OK
5;Duras;red;OK
5;Verdeca;white;OK
5;Garnacha-Monastrell;red;OK
4;Mavrud;red;OK
4;Merlot-Argaman;red;OK
4;Chardonnay-Albariño;white;OK
4;Pallagrello Nero;red;OK
4;Ansonica;white;OK
4;Rolle;white;OK
4;Sangiovese-Syrah;red;OK
4;White Port;white;OK
4;Vidal;white;OK
4;Meoru;red;OK
4;Hárslevelü;white;OK
4;Favorita;white;OK
4;Okuzgozu;red;OK
4;Cabernet Sauvignon Grenache;red;OK
4;Greco Bianco;white;OK
4;Macabeo-Chardonnay;white;OK
4;Cabernet Sauvignon and Tinta Roriz;red;OK
4;Loin de l'Oeil;white;OK
4;Morio Muskat;white;OK
4;Nielluciu;red;OK
4;Shiraz-Mourvèdre;red;OK
4;Black Monukka;red;OK
4;Cserszegi Fűszeres;white;OK
4;Feteasca;white;OK
4;Királyleányka;white;OK
4;Muscat d'Alexandrie;white;OK
4;Pinot-Chardonnay;white;OK
4;Trebbiano-Malvasia;white;OK
4;Zlahtina;white;OK
4;Tokay Pinot Gris;white;OK
4;Bual;white;OK
4;Marzemino;red;OK
4;Syrah-Grenache-Viognier;red;OK
4;Pallagrello Bianco;white;OK
4;Nerello Cappuccio;red;OK
4;Muskateller;white;OK
4;Fer Servadou;red;OK
4;Pineau d'Aunis;red;OK
4;Siegerrebe;white;OK
3;Jacquère;white;OK
3;Sangiovese-Cabernet Sauvignon;red;OK
3;Cayuga;white;OK
3;Macabeo-Moscatel;white;OK
3;Cerceal;white;OK
3;Feteascǎ Regalǎ;white;OK
3;Cabernet Franc-Cabernet Sauvignon;red;OK
3;Garnacha-Cabernet;red;OK
3;Mavroudi;red;OK
3;Garnacha-Tempranillo;red;OK
3;Lambrusco Grasparossa;red;OK
3;Alvarinho-Chardonnay;white;OK
3;Prokupac;red;OK
3;Códega do Larinho;white;OK
3;Chardonnay Weissburgunder;white;OK
3;Sauvignon Blanc-Chenin Blanc;white;OK
3;Cabernet Sauvignon-Merlot-Shiraz;red;OK
3;Tai;white;OK
3;Clairette;white;OK
3;Avesso;white;OK
3;Gelber Traminer;white;OK
3;Malvar;white;OK
3;Pignoletto;white;OK
3;Roussanne-Marsanne;white;OK
3;Pinot Blanc-Chardonnay;white;OK
3;Valdiguié;red;OK
3;Argaman;red;OK
3;Blatina;red;OK
3;Picapoll;white;OK
3;Zierfandler-Rotgipfler;white;OK
3;Muscadelle;white;OK
3;Syrah-Merlot;red;OK
3;Tamjanika;white;OK
3;St. George;red;OK
3;Tocai;white;OK
3;Tocai Rosso;red;OK
3;Vespaiolo;white;OK
3;Sousão;red;OK
3;Nosiola;white;OK
3;Syrah-Cabernet Franc;red;OK
3;Pugnitello;red;OK
3;Braucol;red;OK
3;Steen;white;OK
3;Edelzwicker;white;OK
3;Cariñena-Garnacha;red;OK
3;Prié Blanc;white;OK
3;Colorino;red;OK
3;Boğazkere;red;OK
3;Manzoni;white;OK
2;Muscat of Alexandria;white;OK
2;Viognier-Grenache Blanc;white;OK
2;Bukettraube;white;OK
2;Grenache-Mourvèdre;red;OK
2;Saperavi-Merlot;red;OK
2;Garnacha Blend;red;OK
2;Narince;white;OK
2;Tintilia;red;OK
2;Teroldego Rotaliano;red;OK
2;Enantio;red;OK
2;Colombard-Ugni Blanc;white;OK
2;Yapincak;white;OK
2;Segalin;red;OK
2;Portuguiser;red;OK
2;Malvasia-Viura;white;OK
2;Veltliner;white;OK
2;Roviello;white;OK
2;Koshu;white;OK
2;Torbato;white;OK
2;Sirica;red;OK
2;Žilavka;white;OK
2;Schwartzriesling;red;OK
2;Rieslaner;white;OK
2;Malbec Blend;red;OK
2;Lambrusco di Sorbara;red;OK
2;Petite Syrah;red;OK
2;Pinot Blanc-Pinot Noir;white;OK
2;Kadarka;red;OK
2;Alvarelhão;red;OK
2;Grignolino;red;OK
2;Merlot-Shiraz;red;OK
2;Roscetto;white;OK
2;Gragnano;red;OK
2;Malmsey;white;OK
2;Rivaner;white;OK
2;Shiraz-Merlot;red;OK
2;Vermentino Nero;red;OK
2;Tinta Barroca;red;OK
2;Muscadet;white;OK
2;País;red;OK
2;Maréchal Foch;red;OK
2;Athiri;white;OK
2;Sercial;white;OK
2;Gouveio;white;OK
2;Crespiello;white;OK
2;Pelaverga Piccolo;red;OK
2;Merlot-Grenache;red;OK
2;Cabernet Franc-Tempranillo;red;OK
2;Tinta Negra Mole;red;OK
2;Mtsvane;white;OK
2;Kallmet;red;OK
2;Franconia;red;OK
2;Marsanne-Viognier;white;OK
2;Magliocco;red;OK
2;Pigato;white;OK
2;Tannat-Syrah;red;OK
2;Karalahna;red;OK
2;Morillon;white;OK
2;Pinot Noir-Syrah;red;OK
2;Emir;white;OK
2;Muscatel;white;OK
2;Sämling;white;OK
2;Roussanne-Grenache Blanc;white;OK
2;Doña Blanca;white;OK
2;Zelen;white;OK
2;Incrocio Manzoni;white;OK
2;Mazuelo;red;OK
2;Madeleine Angevine;white;OK
1;Cococciola;white;OK
1;Chardonelle;white;OK
1;Altesse;white;OK
1;Rabigato;white;OK
1;Pinotage-Merlot;red;OK
1;Grolleau;red;OK
1;Asprinio;white;OK
1;Mandilaria;red;OK
1;Freisa;red;OK
1;Pardina;white;OK
1;Chardonnay-Pinot Gris;white;OK
1;Sauvignon Musqué;white;OK
1;Irsai Oliver;white;OK
1;Viognier-Valdiguié;red;OK
1;Ugni Blanc;white;OK
1;Carineña;red;OK
1;Cabernet-Shiraz;red;OK
1;Grenache Gris;white;OK
1;Sarba;white;OK
1;Muscat Hamburg;red;OK
1;Sideritis;red;OK
1;Dafni;white;OK
1;Xynisteri;white;OK
1;Mavrotragano;red;OK
1;Pinot Grigio-Sauvignon Blanc;white;OK
1;Malvazija;white;OK
1;Blauburgunder;red;OK
1;Tinta Francisca;red;OK
1;Romorantin;white;OK
1;Baga-Touriga Nacional;red;OK
1;Trousseau Gris;white;OK
1;Früburgunder;red;OK
1;Vidadillo;red;OK
1;Karasakiz;red;OK
1;Albarín;white;OK
1;Kuntra;red;OK
1;Sacy;white;OK
1;Listán Negro;red;OK
1;Cabernet Franc-Malbec;red;OK
1;Garnacha Tintorera;red;OK
1;Ruen;red;OK
1;Orangetraube;white;OK
1;Malbec-Petit Verdot;red;OK
1;Premsal;white;OK
1;Morava;white;OK
1;Silvaner-Traminer;white;OK
1;Chinuri;white;OK
1;Syrah-Carignan;red;OK
1;Muskat;white;OK
1;Moscofilero;white;OK
1;Jacquez;red;OK
1;Cabernet Pfeffer;red;OK
1;Viura-Verdejo;white;OK
1;Erbaluce;white;OK
1;Forcallà;white;OK
1;Catalanesca;white;OK
1;Petit Meslier;white;OK
1;Moscatel de Alejandría;white;OK
1;Torontel;white;OK
1;Sauvignon Blanc-Sauvignon Gris;white;OK
1;Pinela;white;OK
1;Merlot-Petite Verdot;red;OK
1;Kinali Yapincak;white;OK
1;Vitovska;white;OK
1;Pied de Perdrix;red;OK
1;Bombino Bianco;white;OK
1;Moscatel Graúdo;white;OK
1;Aidani;white;OK
1;Albarossa;red;OK
1;Carignan-Syrah;red;OK
1;Parraleta;red;OK
1;Malbec-Cabernet Franc;red;OK
1;Rufete;red;OK
1;Caprettone;white;OK
1;Moscato di Noto;white;OK
1;Tempranillo-Malbec;red;OK
1;Syrah-Malbec;red;OK
1;Azal;white;OK
1;Durello;white;OK
1;Sauvignonasse;white;OK
1;Rebula;white;OK
1;St. Vincent;white;OK
1;Groppello;red;OK
1;Malvoisie;white;OK
1;Terret Blanc;white;OK
1;Sangiovese Cabernet;red;OK
1;Syrah-Bonarda;red;OK
1;Espadeiro;red;OK
1;Cabernet Moravia;red;OK
1;Macabeo-Gewürztraminer;white;OK
1;Chardonel;white;OK
1;Viura-Sauvignon Blanc;white;OK
1;Pinot Grigio-Chardonnay;white;OK
1;Huxelrebe;white;OK
1;Chardonnay-Pinot Grigio;white;OK
1;Moristel;red;OK
1;Carnelian;red;OK
